,BEARVC,BIG2C,BIGC,CAMASC,CAPEHC,CHAMBC,CHAMWF,ELKC,HERDC,LAKEC,LOONC,MARSHC,SALRSF,SECESR,SULFUC,VALEYC
2001,51991,32739,NA,NA,NA,NA,920,30707,10452,19679,NA,32130,32160,42271,NA,42274
2002,26246,30238,26412,21357,12184,1350,1280,15134,29704,21099,30385,10875,10140,25109,16998,50346
2003,2070,35550,21200,18223,21075,3594,4500,20459,13844,22160,13693,10614,38337,41211,1400,34989
2004,17140,24864,16562,34129,30640,10068,3120,18109,22297,24041,29939,3010,44047,40787,4550,23278
2005,37060,49098,35301,21368,12258,NA,1150,14919,21721,10766,18392,26609,25376,30491,23708,66362
2006,30986,37461,56854,12898,16856,3219,650,29779,9193,16793,NA,NA,NA,36422,NA,68864
2007,43918,32862,29164,22602,15825,NA,NA,16262,21418,12988,24647,17158,NA,NA,34915,82950
2008,17200,40340,42776,26288,NA,10849,3430,7980,NA,20841,30009,15694,18156,21769,24403,80527
2009,21835,37670,47617,16698,30241,13731,1950,28358,15927,10235,22198,28420,24358,36324,37489,49382
2010,34816,35278,39058,14813,7991,16265,1100,34116,16612,16563,27961,36959,24693,33803,29100,50379
2011,17857,44144,33465,NA,NA,11714,2650,25562,15401,19529,26338,24445,18488,38080,29369,60359
2012,24430,32154,26224,7115,NA,12186,3500,20012,14314,20132,32471,NA,27130,29323,26439,56776
2013,25285,37801,29210,12006,33996,7292,5000,20872,15660,14762,18139,15772,21480,26777,NA,34897
2014,29408,31916,40157,15600,15393,13488,5700,22100,11345,20093,12902,16230,10220,32878,16011,27159
2015,39320,31820,36894,16333,14696,18493,5400,28154,24180,18759,22225,24280,18390,34165,25268,25618
2016,44204,23968,46873,10744,18572,26414,12100,20794,24816,21015,22301,28732,34275,27312,36869,37662
2017,32924,31224,43666,NA,19195,NA,NA,28510,18194,15422,13322,25220,26848,33026,NA,37850
2018,24759,22118,17485,NA,NA,17225,NA,15567,16471,21229,NA,NA,19444,29600,NA,28337
2019,34147,28520,17741,11684,13364,18394,14554,14888,8531,20254,13271,22559,28595,16662,15861,35262
2021,35661,21547,NA,NA,16746,6806,NA,12742,NA,20481,9368,16995,35067,14370,NA,16406
2022,29231,NA,NA,NA,18235,NA,NA,17170,NA,NA,NA,25788,119577,NA,NA,NA
2023,15903,NA,NA,NA,3225,NA,NA,14960,NA,31846,NA,28420,39725,15040,NA,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44712,38300,NA,NA,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
